Category: All categories

Week,bitcoin: (Worldwide)
2020-01-05,25
2020-01-12,26
2020-01-19,22
2020-01-26,24
2020-02-02,24
2020-02-09,28
2020-02-16,25
2020-02-23,26
2020-03-01,23
2020-03-08,44
2020-03-15,47
2020-03-22,35
2020-03-29,29
2020-04-05,29
2020-04-12,28
2020-04-19,28
2020-04-26,37
2020-05-03,39
2020-05-10,46
2020-05-17,32
2020-05-24,31
2020-05-31,29
2020-06-07,26
2020-06-14,24
2020-06-21,23
2020-06-28,23
2020-07-05,23
2020-07-12,26
2020-07-19,23
2020-07-26,37
2020-08-02,35
2020-08-09,30
2020-08-16,29
2020-08-23,24
2020-08-30,27
2020-09-06,26
2020-09-13,23
2020-09-20,22
2020-09-27,20
2020-10-04,20
2020-10-11,21
2020-10-18,29
2020-10-25,31
2020-11-01,35
2020-11-08,36
2020-11-15,50
2020-11-22,55
2020-11-29,47
2020-12-06,38
2020-12-13,64
2020-12-20,63
2020-12-27,100
